id,license,license_url,url,category
11190751074,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://live.staticflickr.com/5536/11190751074_f97587084e_o.jpg,ガソリンスタンド
119354302,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://live.staticflickr.com/42/119354302_8d895ffae6_o.jpg,ガソリンスタンド
12586081383,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,https://live.staticflickr.com/7445/12586081383_669e13dbdd_o.jpg,ガソリンスタンド
21721007800,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,https://live.staticflickr.com/5805/21721007800_21af11e6a2_o.jpg,ガソリンスタンド
32664671806,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://live.staticflickr.com/313/32664671806_0a3978a5bc_o.jpg,ガソリンスタンド
3409163825,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,https://live.staticflickr.com/3325/3409163825_1a24b56829_o.jpg,ガソリンスタンド
36332737670,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://live.staticflickr.com/4382/36332737670_7f7ca24a47_o.jpg,ガソリンスタンド
37773739146,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,https://live.staticflickr.com/4468/37773739146_ab31825f33_o.jpg,ガソリンスタンド
3886617891,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,https://live.staticflickr.com/2624/3886617891_2407ee7d28_o.jpg,ガソリンスタンド
3985021838,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://live.staticflickr.com/2587/3985021838_03420ff810_o.jpg,ガソリンスタンド
51215732195,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://live.staticflickr.com/65535/51215732195_00ff97381f_o.jpg,ガソリンスタンド
51478248921,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://live.staticflickr.com/65535/51478248921_c9d5176396_o.jpg,ガソリンスタンド
6930824046,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://live.staticflickr.com/5349/6930824046_193f41a629_o.jpg,ガソリンスタンド
